RA,DEC
193.37155,2.16833
227.97354,-72.85941
209.06944,47.23562
78.01389,-15.6878
54.13202,-35.29519
189.13626,11.25787
132.34122,19.07496
17.74534,33.152
190.77321,-41.35891
330.59009,-18.9165
29.08016,73.28278
191.04164,-41.74994
186.53149,13.11279
21.50248,-1.34514
349.72839,-42.23906
224.6926,-19.26686
171.93314,17.2241
228.55595,-46.8092
133.89479,58.73441
204.98344,-31.64018
204.84782,-30.77407
185.07399,75.3709
306.27789,-24.80943
191.93971,13.76272
312.17746,-37.99743
180.55077,62.13728
212.01311,-33.31506
130.90872,50.20554
211.7972,55.00156
257.60373,72.30438
219.89645,-45.019
184.29126,7.19163
220.04803,-0.28921
206.32976,41.71236
177.00423,-10.96206
164.85846,-66.3328
8.56449,-27.8036
148.61916,-25.70345
10.14592,-13.8728
173.98877,70.53558
17.48158,-45.9312
349.50558,-4.65031
109.15722,-62.34372
61.26641,70.99652
189.37729,9.5551
132.29947,60.22112
358.82928,5.91582
145.80006,31.92879
212.87242,-5.04362
157.71584,-36.73697
195.98743,-11.49658
201.19003,-37.68221
147.50327,-32.88282
102.15536,-64.27332
140.87587,-23.16143
226.02922,1.21991
323.93619,-63.90282
46.3788,42.83542
193.35808,-41.20284
103.47482,-40.86261
243.95898,-60.80305
168.54575,48.31838
187.33797,-23.16664
21.14613,3.79241
321.09171,-40.53773
327.69427,-70.33414
24.77722,-7.5126
162.01817,-31.53337
276.97348,-71.60987
47.18517,65.66212
185.77576,5.25041
195.03378,27.97698
208.22217,-28.48932
352.18094,-41.33348
67.66637,0.66168
349.8381,-42.25684
356.08807,9.93409
216.63867,56.58264
58.6622,-20.50245
160.69394,-36.35268
183.07185,13.20531
185.66057,11.80088
252.7614,-60.80869
55.54806,-29.89351
172.13052,58.56161
278.65277,22.90966
102.53611,60.84575
53.32116,-13.66414
86.69774,-16.78266
280.46902,-63.86209
157.30568,-44.12291
55.62212,-13.48817
254.7623,-60.21602
319.58975,-63.76067
36.82047,33.57888
137.86462,-14.81665
158.78433,-43.69184
27.8232,22.35797
165.85577,18.13539
186.11812,75.52891
74.4963,68.32352
15.84117,-6.33921
58.61853,-35.96715
16.85396,32.41256
195.2533,-32.44135
193.36386,-48.74919
218.50519,-78.3875
221.54631,-0.22301
7.31275,2.86405
198.74739,-16.59031
231.89603,-64.17095
331.70898,-64.31625
193.95685,-12.0553
159.23349,21.88213
330.13718,-43.38972
348.70209,-43.59994
194.30101,-13.66485
107.08556,18.78025
225.00172,1.89129
202.86783,-34.79443
234.1319,16.60785
119.21788,60.34938
339.44534,23.78669
213.89261,36.22698
176.45442,13.7667
304.59702,-41.05016
95.38657,59.12668
152.21068,-67.03085
159.14854,-27.51843
181.11276,1.89601
133.63544,-32.93748
54.84709,-31.32143
68.76662,73.26243
252.7276,-61.81264
333.90833,-45.85007
291.70728,-54.95131
317.96689,-49.28373
198.49191,-49.47871
145.92125,-20.47719
159.44725,-27.08125
319.6377,26.44691
179.03102,-19.89618
186.32538,4.92506
316.28058,66.77304
152.71733,-66.64742
197.20309,-6.77754
198.58429,-46.12486
328.33432,-47.88245
134.25465,-24.67375
189.61842,4.31915
216.03163,34.85887
217.91092,-43.41844
185.89561,6.08174
190.15353,-5.13301
149.98143,-29.6178
185.50935,-35.79274
166.69789,72.56853
23.77366,-7.3403
29.38636,33.20928
164.08678,-50.56024
34.05539,70.68877
218.90013,-45.96696
76.363,-11.87138
177.20985,59.41562
184.8427,6.09876
191.08163,-40.73181
289.59448,-60.50109
39.63658,-6.67755
114.1174,-47.63555
307.1409,-36.02712
108.57268,84.38227
245.45258,-2.28344
108.88035,-29.35903
192.05698,-3.33292
138.38165,-63.62642
51.55865,66.59373
237.85513,62.31003
208.14957,0.81835
170.42955,20.16957
228.76353,42.04987
217.33083,-33.45512
59.90612,-67.63477
311.14056,-68.74773
54.45708,72.57133
190.38647,7.31482
186.34239,10.01672
193.28012,-10.49428
354.4581,-47.72778
174.75716,-37.73857
196.05995,-10.33961
234.98912,58.07939
163.22357,-32.92762
323.14688,-44.06756
178.50642,-19.56877
158.39934,-27.45445
171.3037,-26.73688
101.84758,-26.73626
224.73444,-42.01337
54.29891,-35.74611
340.46823,-44.76716
356.06552,10.76709
41.60494,-0.49872
179.8757,-19.26522
110.92501,-29.65234
74.92458,-7.75518
146.42519,-14.32636
334.0379,-36.84372
182.04018,10.37872
209.65811,37.42455
21.38085,1.75903
28.19365,36.15182
42.07262,50.80029
276.03152,73.18324
55.51548,-21.24436
242.49454,0.70929
271.49683,18.58724
39.58149,2.11925
152.54112,-12.43377
184.14072,7.46208
304.90973,66.72832
79.89718,-77.72868
134.24686,51.34739
212.60429,-43.32462
54.36798,-24.5013
201.59056,-33.86848
227.31714,-11.32182
100.72079,-23.47599
252.17039,-62.60599
248.08734,19.82655
342.65054,-1.54483
184.29758,15.32399
178.42393,47.85876
307.12024,25.72341
169.83998,57.75774
185.52344,9.04357
209.02632,59.74199
248.71898,-60.61881
45.42646,35.20563
342.95309,-20.60809
56.20813,-21.92057
148.63701,-28.29819
171.88287,56.87671
173.97173,-37.99737
130.66588,14.28554
155.86255,19.89844
173.45557,53.1255
178.4881,-23.16426
45.97701,-11.9918
193.2737,-9.20399
27.35358,21.9973
177.45961,-38.78448
46.54964,-9.54141
188.87752,12.22092
56.34296,-18.63363
300.17673,66.22752
166.8253,-19.47154
253.07637,-69.12514
173.88547,-37.95638
27.29515,-10.42649
343.09421,1.09251
180.14476,-17.84262
203.43324,-48.15117
34.49852,14.54404
208.34,40.36396
288.68265,-62.27261
142.39415,62.4906
299.31253,5.8904
55.70461,-22.10837
325.05377,-42.5394
3.68583,-7.34528
308.20926,9.92643
12.44917,32.27771
244.41554,-34.36594
197.39482,-51.96857
52.0274,-32.28612
126.04198,-18.77556
193.59897,-10.5372
195.17894,37.31528
159.64003,-7.17073
202.97292,-33.2344
300.20984,-38.57505
101.82238,33.56719
282.9978,11.8761
233.51024,56.6856
266.24036,-60.73981
3.8787,17.32841
227.38982,3.05274
209.27075,41.846
21.14082,1.73118
354.08551,75.64813
145.22466,5.16585
174.19997,54.29365
187.4731,14.06863
62.07887,-21.05196
245.4789,-60.66915
138.90179,-63.06964
330.74188,41.05899
335.6145,36.20983
207.33025,-30.30944
288.3385,-60.86015
149.10693,-26.09492
47.81098,-8.92214
181.04663,18.44345
210.85854,-6.03081
101.8082,74.23653
159.26054,-27.56502
250.42458,-69.37215
18.44692,-31.74722
49.83872,41.49064
94.11669,-21.37585
109.1301,-29.32471
234.98819,-30.55279
307.91278,-30.83189
150.13196,-31.245
248.18118,-57.85265
136.88972,60.47933
205.12874,-51.07089
193.63507,-6.85942
284.58704,-62.11842
97.32312,-17.35887
248.16333,78.19817
57.00317,33.1116
202.18372,-48.91681
141.42722,11.43216
100.67207,-27.45949
20.0279,3.41527
258.44598,-77.53619
154.23134,-48.88107
305.99194,-43.99527
40.84277,4.96842
182.13472,68.76762
209.16469,-44.00925
152.55388,-67.00507
73.12981,-3.10609
20.7978,33.46012
199.8996,-55.93134
300.89322,-48.28451
121.40851,-11.42704
26.81729,35.56329
192.51947,-14.73343
18.05886,-58.24798
39.79984,10.84682
227.45599,0.47004
138.42996,76.4753
356.77011,29.48344
162.01509,-20.84921
177.28937,27.02206
300.69687,-56.0903
154.07785,-33.56382
37.63802,-1.10847
38.58377,32.50561
133.37427,-59.21711
206.91698,-30.93953
76.32513,-9.14724
139.94527,33.74979
51.10652,-21.54404
178.98869,6.74938
11.86505,-31.42175
337.14969,-24.84413
48.38349,-25.72518
128.45844,-13.17466
354.43503,-47.50636
150.02428,-31.55287
196.60887,-40.4146
140.60388,-61.04953
179.63019,-18.34684
199.59843,-35.45867
33.86517,6.00262
60.70106,1.96573
313.00974,-57.06877
205.53491,35.65427
28.30543,4.19584
94.84039,76.81168
27.5584,27.64567
180.72481,-16.37361
2.26786,27.72941
310.15771,-54.30306
333.73303,-66.84941
133.42607,73.49095
195.16307,2.50143
37.67844,-2.93901
190.71846,13.25723
197.90437,22.91549
43.42226,13.01415
64.90806,2.40993
210.17517,55.16446
167.82736,-36.87551
120.60277,9.41358
195.36763,-4.54645
286.76575,29.00647
304.32202,-52.79675
186.40723,-39.31967
214.2206,10.80737
186.31143,15.60747
194.05971,56.87345
184.28204,7.62438
344.0119,36.36136
183.68799,-35.50979
354.7027,-6.51786
54.05647,67.56464
137.02582,78.08516
245.18517,-70.1426
180.67606,1.97676
202.30795,-33.17384
334.58542,13.62373
218.61938,-27.51855
189.23488,14.21736
316.94724,16.33587
12.67441,-1.91024
48.05966,-10.48112
197.51846,-46.43734
306.11725,-43.65353
227.44478,57.00019
193.6524,-12.55801
52.64574,-34.85395
124.47288,23.47214
91.14261,57.62774
182.25116,-31.51988
293.32901,-58.11424
10.39125,-10.0214
155.42163,-34.69678
226.94881,2.56858
186.30133,14.7622
86.9643,-17.6024
228.7193,-63.80566
289.13583,-40.20918
8.51153,-9.70534
133.90215,-3.18394
141.80243,-11.64345
200.06911,-24.4462
311.8295,0.32081
131.82077,-20.03568
207.43475,39.98467
305.80768,-27.71457
194.40054,-49.75121
105.07308,-30.16377
188.56604,13.07551
170.72757,16.59014
280.08255,24.19997
67.98782,59.42981
170.07079,2.96417
154.89098,-26.69888
47.22961,70.56324
195.3839,-32.29105
234.62489,12.1866
202.26506,-41.99623
345.27716,16.38841
