gamma,f,A,delta_chi2
1.4,2.6399999999999997,0.9800000000000001,21.360000000000017
1.4,2.6399999999999997,1.0,21.28000000000002
1.4,2.6399999999999997,1.02,21.36000000000002
1.4,2.6399999999999997,1.04,21.60000000000002
1.4,2.6399999999999997,1.06,22.00000000000002
1.4,2.6399999999999997,1.08,22.56000000000002
1.4,2.6399999999999997,1.1,23.280000000000022
1.4,2.65,0.9,23.730000000000025
1.4,2.65,0.92,23.010000000000023
1.4,2.65,0.9400000000000001,22.450000000000024
1.4,2.65,0.9600000000000001,22.050000000000026
1.4,2.65,0.9800000000000001,21.810000000000024
1.4,2.65,1.0,21.730000000000025
1.4,2.65,1.02,21.810000000000027
1.4,2.65,1.04,22.050000000000026
1.4,2.65,1.06,22.450000000000028
1.4,2.65,1.08,23.010000000000026
1.4,2.65,1.1,23.73000000000003
1.4,2.6599999999999997,0.9,24.280000000000012
1.4,2.6599999999999997,0.92,23.56000000000001
1.4,2.6599999999999997,0.9400000000000001,23.00000000000001
1.4,2.6599999999999997,0.9600000000000001,22.600000000000012
1.4,2.6599999999999997,0.9800000000000001,22.36000000000001
1.4,2.6599999999999997,1.0,22.280000000000012
1.4,2.6599999999999997,1.02,22.360000000000014
1.4,2.6599999999999997,1.04,22.600000000000012
1.4,2.6599999999999997,1.06,23.000000000000014
1.4,2.6599999999999997,1.08,23.560000000000013
1.4,2.6599999999999997,1.1,24.280000000000015
1.4,2.67,0.9,24.930000000000025
1.4,2.67,0.92,24.210000000000022
1.4,2.67,0.9400000000000001,23.650000000000023
1.4,2.67,0.9600000000000001,23.250000000000025
1.4,2.67,0.9800000000000001,23.010000000000023
1.4,2.67,1.0,22.930000000000025
1.4,2.67,1.02,23.010000000000026
1.4,2.67,1.04,23.250000000000025
1.4,2.67,1.06,23.650000000000027
1.4,2.67,1.08,24.210000000000026
1.4,2.67,1.1,24.930000000000028
1.4,2.6799999999999997,0.9,25.680000000000007
1.4,2.6799999999999997,0.92,24.960000000000004
1.4,2.6799999999999997,0.9400000000000001,24.400000000000006
1.4,2.6799999999999997,0.9600000000000001,24.000000000000007
1.4,2.6799999999999997,0.9800000000000001,23.760000000000005
1.4,2.6799999999999997,1.0,23.680000000000007
1.4,2.6799999999999997,1.02,23.76000000000001
1.4,2.6799999999999997,1.04,24.000000000000007
1.4,2.6799999999999997,1.06,24.40000000000001
1.4,2.6799999999999997,1.08,24.960000000000008
1.4,2.6799999999999997,1.1,25.68000000000001
1.4,2.69,0.9,26.530000000000022
1.4,2.69,0.92,25.81000000000002
1.4,2.69,0.9400000000000001,25.25000000000002
1.4,2.69,0.9600000000000001,24.850000000000023
1.4,2.69,0.9800000000000001,24.61000000000002
1.4,2.69,1.0,24.530000000000022
1.4,2.69,1.02,24.610000000000024
1.4,2.69,1.04,24.850000000000023
1.4,2.69,1.06,25.250000000000025
1.4,2.69,1.08,25.810000000000024
1.4,2.69,1.1,26.530000000000026
1.4,2.6999999999999997,0.9,27.48
1.4,2.6999999999999997,0.92,26.759999999999998
1.4,2.6999999999999997,0.9400000000000001,26.2
1.4,2.6999999999999997,0.9600000000000001,25.8
1.4,2.6999999999999997,0.9800000000000001,25.56
1.4,2.6999999999999997,1.0,25.48
1.4,2.6999999999999997,1.02,25.560000000000002
1.4,2.6999999999999997,1.04,25.8
1.4,2.6999999999999997,1.06,26.200000000000003
1.4,2.6999999999999997,1.08,26.76
1.4,2.6999999999999997,1.1,27.480000000000004
1.4,2.71,0.9,28.530000000000022
1.4,2.71,0.92,27.81000000000002
1.4,2.71,0.9400000000000001,27.25000000000002
1.4,2.71,0.9600000000000001,26.850000000000023
1.4,2.71,0.9800000000000001,26.61000000000002
1.4,2.71,1.0,26.530000000000022
1.4,2.71,1.02,26.610000000000024
1.4,2.71,1.04,26.850000000000023
1.4,2.71,1.06,27.250000000000025
1.4,2.71,1.08,27.810000000000024
1.4,2.71,1.1,28.530000000000026
1.4,2.7199999999999998,0.9,29.679999999999996
1.4,2.7199999999999998,0.92,28.959999999999994
1.4,2.7199999999999998,0.9400000000000001,28.399999999999995
1.4,2.7199999999999998,0.9600000000000001,27.999999999999996
1.4,2.7199999999999998,0.9800000000000001,27.759999999999994
1.4,2.7199999999999998,1.0,27.679999999999996
1.4,2.7199999999999998,1.02,27.759999999999998
1.4,2.7199999999999998,1.04,27.999999999999996
1.4,2.7199999999999998,1.06,28.4
1.4,2.7199999999999998,1.08,28.959999999999997
1.4,2.7199999999999998,1.1,29.68
1.4,2.73,0.9,30.93000000000002
1.4,2.73,0.92,30.21000000000002
1.4,2.73,0.9400000000000001,29.65000000000002
1.4,2.73,0.9600000000000001,29.25000000000002
1.4,2.73,0.9800000000000001,29.01000000000002
1.4,2.73,1.0,28.93000000000002
1.4,2.73,1.02,29.010000000000023
1.4,2.73,1.04,29.25000000000002
1.4,2.73,1.06,29.650000000000023
1.4,2.73,1.08,30.210000000000022
1.4,2.73,1.1,30.930000000000025
1.4,2.7399999999999998,0.9,32.27999999999999
1.4,2.7399999999999998,0.92,31.559999999999988
1.4,2.7399999999999998,0.9400000000000001,30.99999999999999
1.4,2.7399999999999998,0.9600000000000001,30.59999999999999
1.4,2.7399999999999998,0.9800000000000001,30.35999999999999
1.4,2.7399999999999998,1.0,30.27999999999999
1.4,2.7399999999999998,1.02,30.359999999999992
1.4,2.7399999999999998,1.04,30.59999999999999
1.4,2.7399999999999998,1.06,30.999999999999993
1.4,2.7399999999999998,1.08,31.55999999999999
1.4,2.7399999999999998,1.1,32.279999999999994
1.4,2.75,0.9,33.730000000000025
1.4,2.75,0.92,33.010000000000026
1.4,2.75,0.9400000000000001,32.450000000000024
1.4,2.75,0.9600000000000001,32.050000000000026
1.4,2.75,0.9800000000000001,31.810000000000024
1.4,2.75,1.0,31.730000000000025
1.4,2.75,1.02,31.810000000000027
1.4,2.75,1.04,32.050000000000026
1.4,2.75,1.06,32.450000000000024
1.4,2.75,1.08,33.010000000000026
1.4,2.75,1.1,33.73000000000003
1.4,2.76,0.9,35.27999999999999
1.4,2.76,0.92,34.55999999999999
1.4,2.76,0.9400000000000001,33.999999999999986
1.4,2.76,0.9600000000000001,33.59999999999999
1.4,2.76,0.9800000000000001,33.359999999999985
1.4,2.76,1.0,33.27999999999999
1.4,2.76,1.02,33.359999999999985
1.4,2.76,1.04,33.59999999999999
1.4,2.76,1.06,33.999999999999986
1.4,2.76,1.08,34.55999999999999
1.4,2.76,1.1,35.27999999999999
1.4,2.77,0.9,36.93000000000002
1.4,2.77,0.92,36.21000000000002
1.4,2.77,0.9400000000000001,35.65000000000002
1.4,2.77,0.9600000000000001,35.25000000000002
1.4,2.77,0.9800000000000001,35.01000000000002
1.4,2.77,1.0,34.93000000000002
1.4,2.77,1.02,35.01000000000002
1.4,2.77,1.04,35.25000000000002
1.4,2.77,1.06,35.65000000000002
1.4,2.77,1.08,36.21000000000002
1.4,2.77,1.1,36.93000000000002
1.4,2.78,0.9,38.679999999999986
1.4,2.78,0.92,37.95999999999999
1.4,2.78,0.9400000000000001,37.399999999999984
1.4,2.78,0.9600000000000001,36.999999999999986
1.4,2.78,0.9800000000000001,36.759999999999984
1.4,2.78,1.0,36.679999999999986
1.4,2.78,1.02,36.759999999999984
1.4,2.78,1.04,36.999999999999986
1.4,2.78,1.06,37.399999999999984
1.4,2.78,1.08,37.95999999999999
1.4,2.78,1.1,38.67999999999999
1.4,2.79,0.9,40.53000000000003
1.4,2.79,0.92,39.81000000000003
1.4,2.79,0.9400000000000001,39.25000000000003
1.4,2.79,0.9600000000000001,38.85000000000003
