N,x_resid_ln_fs8
-3.494897563950582,-0.00021135630964601304
-3.4940339865935397,-0.00021127428067214266
-3.4931704092364972,-0.000211191892586865
-3.4923068318794552,-0.0002111091458693523
-3.4914432545224128,-0.00021102604099611233
-3.4905796771653703,-0.00021094257844408992
-3.489716099808328,-0.0002108587586893626
-3.4888525224512854,-0.00021077458220576661
-3.487988945094243,-0.0002106900494689215
-3.4871253677372005,-0.00021060516095311455
-3.486261790380158,-0.00021051991713084972
-3.485398213023116,-0.0002104343184759841
-3.4845346356660736,-0.00021034836545968938
-3.483671058309031,-0.0002102620585544765
-3.4828074809519887,-0.00021017539823019182
-3.481943903594946,-0.00021008838495800708
-3.4810803262379038,-0.00021000101920689435
-3.4802167488808613,-0.00020991330144713716
-3.4793531715238193,-0.00020982523214591736
-3.478489594166777,-0.00020973681177174908
-3.4776260168097344,-0.0002096480407918072
-3.476762439452692,-0.0002095589196732875
-3.4758988620956495,-0.0002094694488807003
-3.475035284738607,-0.00020937962888122746
-3.4741717073815646,-0.00020928946013894223
-3.473308130024522,-0.00020919894311791087
-3.47244455266748,-0.0002091080782822205
-3.4715809753104376,-0.00020901686609416104
-3.470717397953395,-0.00020892530701691753
-3.4698538205963527,-0.00020883340151189866
-3.4689902432393103,-0.00020874115004095029
-3.468126665882268,-0.0002086485530637186
-3.4672630885252254,-0.00020855561104116127
-3.4663995111681833,-0.00020846232443246654
-3.465535933811141,-0.00020836869369637856
-3.4646723564540984,-0.00020827471929074637
-3.463808779097056,-0.00020818040167343982
-3.4629452017400135,-0.00020808574130186386
-3.462081624382971,-0.0002079907386320981
-3.4612180470259286,-0.0002078953941197781
-3.460354469668886,-0.0002077997082209765
-3.459490892311844,-0.00020770368139001044
-3.4586273149548017,-0.0002076073140802881
-3.4577637375977592,-0.0002075106067465568
-3.456900160240717,-0.00020741355984045529
-3.4560365828836743,-0.00020731617381583578
-3.455173005526632,-0.00020721844912257453
-3.4543094281695894,-0.00020712038621274742
-3.453445850812547,-0.00020702198553754908
-3.452582273455505,-0.0002069232475459537
-3.4517186960984625,-0.00020682417268781672
-3.45085511874142,-0.0002067247614121262
-3.4499915413843776,-0.00020662501416651713
-3.449127964027335,-0.00020652493139863143
-3.4482643866702927,-0.0002064245135565551
-3.44740080931325,-0.00020632376108570272
-3.446537231956208,-0.00020622267443239778
-3.4456736545991657,-0.00020612125404205484
-3.4448100772421233,-0.00020601950035920719
-3.443946499885081,-0.00020591741382794404
-3.4430829225280384,-0.00020581499489190358
-3.442219345170996,-0.0002057122439947448
-3.4413557678139535,-0.00020560916157788545
-3.440492190456911,-0.00020550574808408245
-3.439628613099869,-0.00020540200395342822
-3.4387650357428265,-0.00020529792962867277
-3.437901458385784,-0.0002051935255485901
-3.4370378810287416,-0.00020508879215193343
-3.436174303671699,-0.00020498372987968333
-3.4353107263146567,-0.0002048783391683795
-3.4344471489576143,-0.0002047726204581074
-3.433583571600572,-0.00020466657418364426
-3.43271999424353,-0.00020456020078418735
-3.4318564168864873,-0.00020445350069361184
-3.430992839529445,-0.0002043464743493456
-3.4301292621724024,-0.00020423912218525686
-3.42926568481536,-0.000204131444637011
-3.4284021074583175,-0.00020402344213669987
-3.427538530101275,-0.000203915115119975
-3.426674952744233,-0.00020380646401760294
-3.4258113753871906,-0.00020369748926345188
-3.424947798030148,-0.00020358819128785816
-3.4240842206731057,-0.00020347857052246954
-3.4232206433160632,-0.00020336862739760847
-3.422357065959021,-0.00020325836234447864
-3.4214934886019783,-0.00020314777579075183
-3.420629911244936,-0.00020303686816629946
-3.419766333887894,-0.00020292563989922352
-3.4189027565308514,-0.00020281409141718193
-3.418039179173809,-0.00020270222314782566
-3.4171756018167665,-0.00020259003551749422
-3.416312024459724,-0.00020247752895206222
-3.4154484471026816,-0.00020236470387785532
-3.414584869745639,-0.0002022515607189787
-3.4137212923885967,-0.0002021380999008629
