N,x_resid_ln_fs8
-3.436174303671699,-0.0004699544507751341
-3.4353107263146567,-0.0004695359816290767
-3.4344471489576143,-0.0004691171306928643
-3.433583571600572,-0.0004686978984851861
-3.43271999424353,-0.00046827828552741674
-3.4318564168864873,-0.0004678582923369132
-3.430992839529445,-0.00046743791943414104
-3.4301292621724024,-0.0004670171673342577
-3.42926568481536,-0.00046659603655684057
-3.4284021074583175,-0.000466174527616145
-3.427538530101275,-0.0004657526410290838
-3.426674952744233,-0.00046533037731037036
-3.4258113753871906,-0.00046490773697469706
-3.424947798030148,-0.0004644847205354241
-3.4240842206731057,-0.0004640613285054884
-3.4232206433160632,-0.000463637561397362
-3.422357065959021,-0.0004632134197226287
-3.4214934886019783,-0.00046278890399244904
-3.420629911244936,-0.0004623640147175187
-3.419766333887894,-0.00046193875240675697
-3.4189027565308514,-0.00046151311756999214
-3.418039179173809,-0.00046108711071481123
-3.4171756018167665,-0.0004606607323496964
-3.416312024459724,-0.0004602339829813465
-3.4154484471026816,-0.00045980686311648117
-3.414584869745639,-0.00045937937326002293
-3.4137212923885967,-0.00045895151391822653
-3.4128577150315547,-0.000458523285594703
-3.411994137674512,-0.0004580946887939308
-3.4111305603174698,-0.0004576657240177237
-3.4102669829604273,-0.000457236391770581
-3.409403405603385,-0.0004568066925529843
-3.4085398282463424,-0.0004563766268658592
-3.4076762508893,-0.00045594619521059643
-3.406812673532258,-0.0004555153980867893
-3.4059490961752155,-0.00045508423599359416
-3.405085518818173,-0.0004546527094297162
-3.4042219414611306,-0.00045422081889254923
-3.403358364104088,-0.0004537885648803544
-3.4024947867470456,-0.00045335594788917244
-3.401631209390003,-0.00045292296841506485
-3.4007676320329607,-0.00045248962695362827
-3.3999040546759187,-0.0004520559239995711
-3.3990404773188763,-0.0004516218600471786
-3.398176899961834,-0.00045118743558938273
-3.3973133226047914,-0.00045075265111911567
-3.396449745247749,-0.0004503175071293303
-3.3955861678907064,-0.0004498820041102941
-3.394722590533664,-0.0004494461425536139
-3.3938590131766215,-0.00044900992294955727
-3.3929954358195795,-0.0004485733457884125
-3.392131858462537,-0.00044813641155778267
-3.3912682811054946,-0.0004476991207470471
-3.390404703748452,-0.00044726147384382964
-3.3895411263914097,-0.0004468234713352892
-3.3886775490343672,-0.00044638511370769657
-3.387813971677325,-0.0004459464014468992
-3.3869503943202828,-0.0004455073350382796
-3.3860868169632403,-0.00044506791496633225
-3.385223239606198,-0.0004446281417151282
-3.3843596622491554,-0.0004441880157682737
-3.383496084892113,-0.00044374753760804964
-3.3826325075350705,-0.0004433067077167299
-3.381768930178028,-0.00044286552657616524
-3.3809053528209856,-0.00044242399466774135
-3.3800417754639436,-0.0004419821124697354
-3.379178198106901,-0.00044153988046355397
-3.3783146207498587,-0.0004410972991274742
-3.377451043392816,-0.0004406543689402173
-3.3765874660357738,-0.0004402110903791931
-3.3757238886787313,-0.0004397674639222346
-3.374860311321689,-0.0004393234900449544
-3.3739967339646464,-0.00043887916922431824
-3.3731331566076044,-0.0004384345019346064
-3.372269579250562,-0.0004379894886514385
-3.3714060018935195,-0.0004375441298486507
-3.370542424536477,-0.00043709842599965604
-3.3696788471794346,-0.00043665237757740255
-3.368815269822392,-0.00043620598505395014
-3.3679516924653496,-0.0004357592489013795
-3.3670881151083076,-0.0004353121695904183
-3.366224537751265,-0.0004348647475917941
-3.3653609603942227,-0.0004344169833749231
-3.3644973830371803,-0.0004339688774096448
-3.363633805680138,-0.0004335204301649104
-3.3627702283230954,-0.0004330716421070274
-3.361906650966053,-0.0004326225137053913
-3.3610430736090104,-0.00043217304542585155
-3.3601794962519684,-0.00043172323773513904
-3.359315918894926,-0.00043127309109822903
-3.3584523415378835,-0.0004308226059805201
-3.357588764180841,-0.00043037178284741073
-3.3567251868237986,-0.00042992062216165583
-3.355861609466756,-0.0004294691243864335
-3.3549980321097137,-0.0004290172899849218
-3.3541344547526712,-0.0004285651194194315
-3.3532708773956292,-0.00042811261315047616
-3.352407300038587,-0.00042765977163990165
-3.3515437226815443,-0.00042720659534735417
-3.350680145324502,-0.0004267530847333473
-3.3498165679674594,-0.00042629924025662513
-3.348952990610417,-0.0004258450623750368
-3.3480894132533745,-0.00042539055154734023
-3.3472258358963325,-0.00042493570823049637
-3.34636225853929,-0.00042448053288146603
-3.3454986811822476,-0.0004240250259563427
-3.344635103825205,-0.0004235691879120873
-3.3437715264681627,-0.00042311301920121974
-3.34290794911112,-0.00042265652027938944
-3.3420443717540778,-0.0004221996916008927
-3.3411807943970353,-0.0004217425336195818
-3.3403172170399933,-0.00042128504678622114
-3.339453639682951,-0.00042082723155421886
-3.3385900623259084,-0.0004203690883743255
-3.337726484968866,-0.00041991061769906107
-3.3368629076118235,-0.0004194518199774136
-3.335999330254781,-0.0004189926956592385
-3.3351357528977386,-0.0004185332451939472
-3.334272175540696,-0.00041807346903097176
-3.333408598183654,-0.0004176133676179472
-3.3325450208266116,-0.00041715294140206444
-3.331681443469569,-0.00041669219083053516
-3.3308178661125267,-0.0004162311163496621
-3.3299542887554843,-0.00041576971840574795
-3.329090711398442,-0.0004153079974433399
-3.3282271340413994,-0.0004148459539074084
-3.3273635566843573,-0.0004143835882420427
-3.326499979327315,-0.0004139209008908809
