omega0,Q,alpha,kind,A,dA_over_A
0.3833333333333333,0.4666666666666667,0.17333333333333334,boost,0.011419841259493836,0.07341251410605547
0.3833333333333333,0.4666666666666667,0.2,boost,0.011539998557476363,0.08470674704544846
0.3833333333333333,0.5,0.04,boost,0.010810778859136618,0.01616345192041454
0.3833333333333333,0.5,0.06666666666666667,boost,0.010925418883489427,0.026939086534024066
0.3833333333333333,0.5,0.09333333333333334,boost,0.011040058907842237,0.03771472114763376
0.3833333333333333,0.5,0.12,boost,0.011154698932195048,0.04849035576124345
0.3833333333333333,0.5,0.14666666666666667,boost,0.011269338956547862,0.059265990374853465
0.3833333333333333,0.5,0.17333333333333334,boost,0.011383978980900673,0.07004162498846316
0.3833333333333333,0.5,0.2,boost,0.011498619005253483,0.08081725960207285
0.4166666666666667,0.3,0.04,boost,0.010893769675647352,0.02396420667472796
0.4166666666666667,0.3,0.06666666666666667,boost,0.011063736911007318,0.03994034445787988
0.4166666666666667,0.3,0.09333333333333334,boost,0.011233704146367285,0.05591648224103196
0.4166666666666667,0.3,0.12,boost,0.011403671381727251,0.07189262002418388
0.4166666666666667,0.3,0.14666666666666667,boost,0.01157363861708722,0.08786875780733612
0.4166666666666667,0.3,0.17333333333333334,boost,0.011743605852447188,0.1038448955904882
0.4166666666666667,0.3,0.2,boost,0.011913573087807152,0.11982103337363996
0.4166666666666667,0.3333333333333333,0.04,boost,0.010879800147425362,0.022651135322078884
0.4166666666666667,0.3333333333333333,0.06666666666666667,boost,0.01104045436397067,0.037751892203464865
0.4166666666666667,0.3333333333333333,0.09333333333333334,boost,0.011201108580515975,0.05285264908485068
0.4166666666666667,0.3333333333333333,0.12,boost,0.011361762797061284,0.06795340596623682
0.4166666666666667,0.3333333333333333,0.14666666666666667,boost,0.01152241701360659,0.08305416284762263
0.4166666666666667,0.3333333333333333,0.17333333333333334,boost,0.011683071230151897,0.09815491972900861
0.4166666666666667,0.3333333333333333,0.2,boost,0.011843725446697205,0.11325567661039458
0.4166666666666667,0.36666666666666664,0.04,boost,0.010867229927217876,0.021469592481930668
0.4166666666666667,0.36666666666666664,0.06666666666666667,boost,0.011019503996958191,0.035782654136551004
0.4166666666666667,0.36666666666666664,0.09333333333333334,boost,0.011171778066698506,0.050095715791171336
0.4166666666666667,0.36666666666666664,0.12,boost,0.011324052136438821,0.06440877744579167
0.4166666666666667,0.36666666666666664,0.14666666666666667,boost,0.011476326206179138,0.07872183910041217
0.4166666666666667,0.36666666666666664,0.17333333333333334,boost,0.011628600275919453,0.09303490075503251
0.4166666666666667,0.36666666666666664,0.2,boost,0.01178087434565977,0.10734796240965301
0.4166666666666667,0.4,0.04,boost,0.010855879071970673,0.02040266433544483
0.4166666666666667,0.4,0.06666666666666667,boost,0.011000585904879519,0.03400444055907455
0.4166666666666667,0.4,0.09333333333333334,boost,0.011145292737788366,0.047606216782704436
0.4166666666666667,0.4,0.12,boost,0.011289999570697214,0.061207993006334324
0.4166666666666667,0.4,0.14666666666666667,boost,0.01143470640360606,0.07480976922996405
0.4166666666666667,0.4,0.17333333333333334,boost,0.011579413236514907,0.08841154545359393
0.4166666666666667,0.4,0.2,boost,0.011724120069423756,0.10201332167722398
0.4166666666666667,0.43333333333333335,0.04,boost,0.010845590365155578,0.019435573252623534
0.4166666666666667,0.43333333333333335,0.06666666666666667,boost,0.010983438060187695,0.03239262208770584
