M_Msun_hinv,sigma_LCDM,sigma_RES,dn_dlnM_LCDM_Mpch3,dn_dlnM_RES_Mpch3
5699711094.326076,0.0032974182463607173,0.0012223170697791969,,
6015395880.274832,0.003284099854580095,0.0012219845016294907,,
6348565216.30521,0.003270525188192871,0.0012216401424271332,,
6700187503.509576,0.0032566974378660267,0.0012212835882272313,,
7071284778.942982,0.0032426203910490706,0.0012209144222793374,,
7462935686.310144,0.003228298448878074,0.001220532214697919,,
7876278611.187063,0.0032137366403899702,0.0012201365221301656,,
8312514989.890633,0.003198940633608459,0.0012197268874217183,,
8772912801.613356,0.003183916743041492,0.0012193028392809143,,
9258810253.973944,0.003168671933113149,0.0012188638919421214,,
9771619672.696161,0.003153213817040856,0.0012184095448288133,,
10312831606.721869,0.0031375506506639,0.0012179392822173085,,
10884019160.690077,0.0031216913207319824,0.0012174525729018162,,
11486842567.375547,0.0031056453271752996,0.0012169488698617168,,
12123054013.376528,0.0030894227589016365,0.001216427609932078,,
12794502732.078733,0.003073034262702932,0.0012158882134786135,,
13503140378.69872,0.0030564910049052205,0.0012153300840778351,,
14251026703.029963,0.003039804625464122,0.0012147526082040682,,
15040335536.38022,0.0030229871842934915,0.001214155154924353,,
15873361110.102055,0.003006051099719804,0.0012135370756028454,,
16752524724.082104,0.0029890090790795068,0.0012128977036161585,,
17680381784.572086,0.0029718740416218507,0.0012122363540812684,,
18659629231.81746,0.0029546590340454254,0.001211552323597869,,
19693113379.074215,0.0029373771391817383,0.0012108448900069646,,
20783838185.79755,0.002920041378542518,0.0012101133121677247,,
21934973989.050556,0.0029026646096659203,0.001209356829754775,,
23149866718.511658,0.002885259419426954,0.0012085746630781243,,
24432047621.864918,0.002867838014714347,0.0012077660129282955,,
25785243528.842766,0.0028504121121130503,0.0012069300604490465,,
27213387683.753086,0.0028329928284617344,0.0012060659670405085,,
28720631177.97828,0.0028155905743684566,0.001205172874295562,,
30311355015.675762,0.002798214952955443,0.0012042499039724573,,
31990182847.750607,0.002780874666254632,0.0012032961580068988,,
33761994411.113335,0.002763577431777119,0.0012023107185668864,,
35631939712.28577,0.0027463299118201546,0.0012012926481538245,,
37605453996.581604,0.002729137658042514,0.0012002409897535677,,
39688273546.37166,0.002712005073721666,0.0011991547670412498,,
41886452354.35271,0.002694935395894003,0.0011980329846438265,,
44206379720.2853,0.002677930699264666,0.0011968746284645644,,
46654798822.34468,0.00266099192335087,0.0011956786660736922,,
49238826317.06732,0.002644118923790822,0.0011944440471697818,,
51965973024.862076,0.002627310548112192,0.0011931697041163997,,
54844165761.21026,0.002610564735518038,0.001191854552558824,,
57881770377.012794,0.0025938786394281983,0.001190497492125694,,
61087616075.05039,0.0025772487706311508,0.0011890974072206965,,
64471021073.23869,0.0025606711579823694,0.0011876531679093176,,
68041819689.27094,0.0025441415226649332,0.001186163630905998,,
71810390925.37341,0.002527655461146932,0.00118462764066698,,
75787688636.25914,0.0025112086311752197,0.0011830440305943073,,
79985273367.9669,0.0024947969344875304,0.0011814116243563783,,
84415345960.1296,0.00247841668945976,0.0011797292373306113,,
89090783009.34142,0.0024620647866874113,0.001177995678173785,,
94025174296.70131,0.002445738820582703,0.0011762097505254806,,
99232862288.32545,0.0024294371904984087,0.0011743702548502042,,
104728983823.63574,0.002413159165701864,0.0011724759904236162,,
110529514112.60197,0.002396904909737625,0.001170525757468213,,
116651313169.81985,0.002380675461333707,0.0011685183594437678,,
123112174820.3892,0.0023644726709954843,0.0011664526054975986,,
129930878420.04172,0.0023482990947332797,0.0011643273130797112,,
137127243439.84009,0.0023321578488884583,0.0011621413107275188,,
144722187074.11343,0.002316052432626058,0.0011598934410247716,,
152737785039.07126,0.0022999865271814733,0.001157582563738983,,
161197335738.81552,0.002283963783186749,0.001155207559141413,,
170125427985.25858,0.0022679876091412786,0.0011527673315133772,,
179548012468.78265,0.002252060975110729,0.0011502608128423348,,
189492477187.38156,0.0022361862458317627,0.001147686966710847,,
199987727053.52872,0.0022203650564043597,0.0011450447923811858,,
211064267910.1555,0.0022045982415714897,0.0011423333290779788,,
222754295199.95563,0.0021888858262152032,0.0011395516604708893,,
235091787545.72842,0.002173227080253588,0.0011366989193589837,,
248112605513.77652,0.002157620635851357,0.001133774292557963,,
261854595847.4238,0.002142064659141421,0.001130777025991104,,
276357701473.61633,0.0021265570630022083,0.0011277064299843092,,
291664077602.37067,0.0021110957424460967,0.0011245618847652026,,
307818214256.50806,0.0020956788104913907,0.0011213428461658219,,
324867065587.83746,0.002080304810630804,0.001118048851527942,,
342860186355.6583,0.0020649728826804513,0.0011146795258095835,,
361849875964.2743,0.0020496828621994357,0.0011112345878906613,,
381891330478.18463,0.0020344352998248405,0.0011077138570750847,,
403042803056.80426,0.0020192313954211223,0.0011041172597858928,,
425365773275.0374,0.002004072852147486,0.0011004448364489922,,
448925125821.8608,0.0019889616662677606,0.0010966967485600112,,
473789339096.3144,0.001973899878326388,0.0010928732859273155,,
500030684249.10895,0.00195888931860593,0.0010889748740824782,,
527725435248.3533,0.0019439313830600226,0.001085002081847239,,
556954090580.0125,0.0019290268740328475,0.0010809556290432582,,
587801607227.4923,0.0019141759325323631,0.0010768363943274406,,
620357647610.4281,0.0018993780760159444,0.0010726454231313283,,
654716840200.4742,0.0018846323390040733,0.0010683839356777783,,
690979054571.5645,0.00186993749578952,0.0010640533350416608,,
729249691684.1444,0.001855292328229278,0.0010596552152135161,,
769639990247.115,0.0018406958905269183,0.0010551913691157371,,
