a,D_LCDM,D_visc_k0_k=0.050000hMpc,D_visc_k1_k=0.240000hMpc,D_visc_k2_k=0.430000hMpc,D_visc_k3_k=0.620000hMpc,D_visc_k4_k=0.810000hMpc,D_visc_k5_k=1.000000hMpc
6.65000000e-01,7.71728992e-01,7.72816265e-01,7.95075122e-01,8.35035640e-01,8.75387279e-01,9.07215319e-01,9.30096227e-01
6.70000000e-01,7.76068625e-01,7.77136460e-01,7.98992945e-01,8.38214376e-01,8.77802593e-01,9.09019604e-01,9.31457494e-01
6.75000000e-01,7.80377983e-01,7.81426457e-01,8.02882382e-01,8.41368853e-01,8.80198733e-01,9.10809212e-01,9.32807533e-01
6.80000000e-01,7.84657087e-01,7.85686280e-01,8.06743486e-01,8.44499160e-01,8.82575793e-01,9.12584229e-01,9.34146418e-01
6.85000000e-01,7.88905966e-01,7.89915957e-01,8.10576318e-01,8.47605386e-01,8.84933871e-01,9.14344742e-01,9.35474220e-01
6.90000000e-01,7.93124652e-01,7.94115524e-01,8.14380941e-01,8.50687625e-01,8.87273063e-01,9.16090837e-01,9.36791014e-01
6.95000000e-01,7.97313184e-01,7.98285022e-01,8.18157425e-01,8.53745973e-01,8.89593469e-01,9.17822603e-01,9.38096873e-01
7.00000000e-01,8.01471608e-01,8.02424497e-01,8.21905840e-01,8.56780526e-01,8.91895187e-01,9.19540127e-01,9.39391870e-01
7.05000000e-01,8.05599974e-01,8.06534001e-01,8.25626265e-01,8.59791386e-01,8.94178318e-01,9.21243498e-01,9.40676079e-01
7.10000000e-01,8.09698337e-01,8.10613591e-01,8.29318781e-01,8.62778655e-01,8.96442966e-01,9.22932806e-01,9.41949574e-01
7.15000000e-01,8.13766760e-01,8.14663331e-01,8.32983472e-01,8.65742439e-01,8.98689233e-01,9.24608140e-01,9.43212429e-01
7.20000000e-01,8.17805308e-01,8.18683287e-01,8.36620427e-01,8.68682844e-01,9.00917223e-01,9.26269590e-01,9.44464719e-01
7.25000000e-01,8.21814054e-01,8.22673533e-01,8.40229741e-01,8.71599980e-01,9.03127042e-01,9.27917246e-01,9.45706516e-01
7.30000000e-01,8.25793073e-01,8.26634146e-01,8.43811508e-01,8.74493959e-01,9.05318795e-01,9.29551200e-01,9.46937897e-01
7.35000000e-01,8.29742447e-01,8.30565209e-01,8.47365829e-01,8.77364895e-01,9.07492590e-01,9.31171541e-01,9.48158934e-01
7.40000000e-01,8.33662261e-01,8.34466808e-01,8.50892809e-01,8.80212902e-01,9.09648536e-01,9.32778363e-01,9.49369703e-01
7.45000000e-01,8.37552607e-01,8.38339035e-01,8.54392553e-01,8.83038098e-01,9.11786740e-01,9.34371756e-01,9.50570278e-01
7.50000000e-01,8.41413579e-01,8.42181985e-01,8.57865172e-01,8.85840603e-01,9.13907313e-01,9.35951812e-01,9.51760734e-01
7.55000000e-01,8.45245275e-01,8.45995760e-01,8.61310781e-01,8.88620537e-01,9.16010365e-01,9.37518625e-01,9.52941145e-01
7.60000000e-01,8.49047800e-01,8.49780462e-01,8.64729494e-01,8.91378024e-01,9.18096008e-01,9.39072286e-01,9.54111585e-01
7.65000000e-01,8.52821260e-01,8.53536199e-01,8.68121433e-01,8.94113187e-01,9.20164353e-01,9.40612888e-01,9.55272130e-01
7.70000000e-01,8.56565767e-01,8.57263084e-01,8.71486720e-01,8.96826153e-01,9.22215513e-01,9.42140525e-01,9.56422854e-01
