tau,omega,sigma_ratio_1e9,sigma_ratio_1e10,sigma_ratio_1e11,score
0.06521739130434782,0.16869565217391305,0.6060753983551221,0.7402149756201388,0.8775377047215684,2.931686556771593
0.07434782608695652,0.1408695652173913,0.6067296924097942,0.7407180191757511,0.8775237556561886,2.9340948623858716
0.07739130434782608,0.13043478260869565,0.6067872655645453,0.74073082971019,0.8774400108678484,2.942577754142917
0.07130434782608695,0.15130434782608695,0.6063419658579051,0.7403624386511412,0.8773750230798187,2.9484058533919226
0.05304347826086957,0.2,0.6044298936690432,0.7387521707177992,0.8772024988831293,2.962705275417011
0.05608695652173913,0.19304347826086957,0.6047008146689522,0.7389782661360536,0.8771666440770347,2.966737871222204
0.08043478260869565,0.12,0.6065255255513143,0.740411570612727,0.8771285857486186,2.9733907572440534
0.059130434782608696,0.18608695652173912,0.6048152529962394,0.7390264127916992,0.8770133648520597,2.9822905743184296
0.06826086956521739,0.1617391304347826,0.6056168810191127,0.7396559103921042,0.876989623299947,2.9859188766489138
0.06217391304347826,0.1791304347826087,0.6047663265597222,0.7388972257863888,0.8767449956845133,3.009122318316615
0.07434782608695652,0.1443478260869565,0.605488558413477,0.7393966282876383,0.8765601322489434,3.0287729071960188
0.07739130434782608,0.13391304347826086,0.6056496980374859,0.7395186081812226,0.8765528220732632,3.0297541054013886
0.06521739130434782,0.17217391304347826,0.6045522225896843,0.7385935635952943,0.8763640681497908,3.046978868052413
0.07130434782608695,0.1547826086956522,0.6049988208879266,0.7389327731670625,0.8763349254373798,3.050591755648204
0.08043478260869565,0.12347826086956522,0.6054918762787932,0.7393085022239116,0.8763175542073262,3.053093629999255
0.06826086956521739,0.16521739130434782,0.6041747304772426,0.7381199335385213,0.8758732715036491,3.095594897837472
0.05608695652173913,0.1965217391304348,0.6029419185726486,0.7370937965838598,0.8758024533897626,3.100761010510212
0.059130434782608696,0.18956521739130436,0.6031267653588911,0.7372218900788604,0.8757066415533282,3.1106646123046087
0.07739130434782608,0.1373913043478261,0.6044910121825151,0.7382823410410818,0.8756453142573879,3.118934568043791
0.07434782608695652,0.14782608695652175,0.6042279207506719,0.7380525291320424,0.8755766041981075,3.1254159692333046
