x_m,m_exponent,h_m
0.2818181818181818,3,0.0007162374154770849
0.28409090909090906,3,0.0007337058602554468
0.2863636363636364,3,0.0007514560480841474
0.28863636363636364,3,0.0007694902329075884
0.2909090909090909,3,0.0007878106686701727
0.29318181818181815,3,0.0008064196093163033
0.2954545454545454,3,0.0008253193087903828
0.29772727272727273,3,0.0008445120210368145
0.3,3,0.0008639999999999999
0.30227272727272725,3,0.0008837854996243424
0.3045454545454545,3,0.0009038707738542447
0.3068181818181818,3,0.0009242580766341097
0.3090909090909091,3,0.0009449496619083395
0.31136363636363634,3,0.0009659477836213372
0.3136363636363636,3,0.0009872546957175054
0.3159090909090909,3,0.0010088726521412473
0.3181818181818182,3,0.0010308039068369645
0.32045454545454544,3,0.0010530507137490605
0.3227272727272727,3,0.001075615326821938
0.325,3,0.0010985
0.32727272727272727,3,0.0011217069872276485
0.32954545454545453,3,0.001145238542449286
0.3318181818181818,3,0.0011690969196093159
0.33409090909090905,3,0.0011932843726521407
0.33636363636363636,3,0.0012178031555221639
0.3386363636363636,3,0.0012426555221637864
0.3409090909090909,3,0.0012678437265214123
0.34318181818181814,3,0.0012933700225394437
0.34545454545454546,3,0.0013192366641622839
0.3477272727272727,3,0.0013454459053343349
0.35,3,0.0013719999999999997
0.35227272727272724,3,0.001398901202103681
0.35454545454545455,3,0.0014261517655897824
0.3568181818181818,3,0.0014537539444027048
0.35909090909090907,3,0.0014817099924868517
0.36136363636363633,3,0.0015100221637866264
0.36363636363636365,3,0.0015386927122464315
0.3659090909090909,3,0.0015677238918106687
0.36818181818181817,3,0.0015971179564237413
0.3704545454545454,3,0.0016268771600300522
0.3727272727272727,3,0.001657003756574004
0.375,3,0.0016875
0.37727272727272726,3,0.0017183681442524414
0.3795454545454545,3,0.001749610443275732
0.3818181818181818,3,0.0017812291510142745
0.3840909090909091,3,0.0018132265214124718
0.38636363636363635,3,0.0018456048084147256
0.3886363636363636,3,0.0018783662659654391
0.3909090909090909,3,0.0019115131480090153
0.3931818181818182,3,0.0019450477084898574
0.39545454545454545,3,0.0019789722013523665
0.3977272727272727,3,0.002013288880540947
0.39999999999999997,3,0.0020479999999999995
0.4022727272727272,3,0.002083107813673929
0.40454545454545454,3,0.002118614575507137
0.4068181818181818,3,0.0021545225394440266
0.40909090909090906,3,0.0021908339594290003
0.4113636363636363,3,0.0022275510894064605
0.41363636363636364,3,0.0022646761833208114
0.4159090909090909,3,0.0023022114951164532
0.41818181818181815,3,0.0023401592787377907
0.4204545454545454,3,0.0023785217881292257
0.42272727272727273,3,0.0024173012772351616
0.425,3,0.0024565
0.42727272727272725,3,0.0024961202103681436
0.4295454545454545,3,0.002536164162283996
0.4318181818181818,3,0.0025766341096919608
0.4340909090909091,3,0.0026175323065364387
0.43636363636363634,3,0.002658861006761833
0.4386363636363636,3,0.0027006224643125465
0.44090909090909086,3,0.0027428189331329816
0.4431818181818182,3,0.002785452667167543
0.44545454545454544,3,0.0028285259203606307
0.4477272727272727,3,0.0028720409466566487
0.44999999999999996,3,0.0029159999999999998
0.45227272727272727,3,0.0029604053343350867
0.45454545454545453,3,0.0030052592036063108
0.4568181818181818,3,0.003050563861758076
0.45909090909090905,3,0.0030963215627347845
0.46136363636363636,3,0.003142534560480841
0.4636363636363636,3,0.0031892051089406456
0.4659090909090909,3,0.0032363354620586022
0.46818181818181814,3,0.0032839278737791127
0.47045454545454546,3,0.0033319845980465815
0.4727272727272727,3,0.003380507888805409
0.475,3,0.0034294999999999994
0.47727272727272724,3,0.003478963185574755
0.4795454545454545,3,0.0035288996994740788
0.4818181818181818,3,0.003579311795642374
0.48409090909090907,3,0.0036302017280240417
0.48636363636363633,3,0.0036815717505634853
0.4886363636363636,3,0.003733424117205108
0.4909090909090909,3,0.003785761081893313
0.49318181818181817,3,0.003838584898572502
0.4954545454545454,3,0.0038918978211870767
0.4977272727272727,3,0.003945702103681442
0.5,3,0.004
0.0,4,4e-08
0.0022727272727272726,4,4e-08
0.004545454545454545,4,4e-08
0.006818181818181818,4,4e-08
0.00909090909090909,4,4e-08
0.011363636363636364,4,4e-08
0.013636363636363636,4,4e-08
0.015909090909090907,4,4e-08
0.01818181818181818,4,4e-08
0.020454545454545454,4,4e-08
0.022727272727272728,4,4e-08
0.024999999999999998,4,4e-08
0.02727272727272727,4,4e-08
0.029545454545454545,4,4.876886824670445e-08
0.031818181818181815,4,6.559661225326135e-08
