z,rho_bh,rho_de,rho_dm,w_proxy
4.1000000000000005,4.364570572330609e-05,1.000000000000506,0.29999999999972493,-0.999999999998143
4.075,4.439555064722528e-05,1.0000000000005154,0.2999999999997199,-0.999999999998062
4.05,4.519208254768494e-05,1.0000000000005251,0.2999999999997146,-0.9999999999980042
4.025,4.6036901743645524e-05,1.0000000000005351,0.2999999999997091,-0.9999999999979472
4.0,4.6931597724506e-05,1.0000000000005456,0.2999999999997034,-0.9999999999978465
3.975,4.7877743386995023e-05,1.0000000000005567,0.2999999999996974,-0.9999999999977467
3.95,4.887688896650773e-05,1.0000000000005682,0.2999999999996911,-0.9999999999976701
3.9250000000000003,4.993055567227585e-05,1.0000000000005802,0.2999999999996846,-0.9999999999975726
3.9000000000000004,5.1040229038006415e-05,1.0000000000005929,0.2999999999996777,-0.9999999999974544
3.875,5.220735200193739e-05,1.0000000000006062,0.2999999999996705,-0.9999999999973375
3.85,5.343331773262881e-05,1.0000000000006202,0.29999999999966287,-0.9999999999972219
3.825,5.471946221921995e-05,1.0000000000006348,0.2999999999996548,-0.9999999999970863
3.8000000000000003,5.6067056647322524e-05,1.0000000000006504,0.2999999999996463,-0.9999999999969309
3.7750000000000004,5.7477299584171495e-05,1.0000000000006668,0.2999999999996374,-0.9999999999967772
3.75,5.895130899910182e-05,1.0000000000006841,0.2999999999996279,-0.9999999999966044
3.725,6.049011414784307e-05,1.0000000000007025,0.29999999999961785,-0.9999999999964124
3.7,6.209464735150672e-05,1.000000000000722,0.29999999999960725,-0.9999999999962227
3.6750000000000003,6.376573570346223e-05,1.0000000000007427,0.299999999999596,-0.9999999999960145
3.6500000000000004,6.550409273954017e-05,1.0000000000007647,0.299999999999584,-0.999999999995788
3.625,6.731031010914011e-05,1.000000000000788,0.2999999999995713,-0.9999999999955438
3.6,6.918484928683974e-05,1.000000000000813,0.29999999999955773,-0.9999999999952819
3.575,7.112803336597744e-05,1.0000000000008393,0.2999999999995433,-0.9999999999950029
3.5500000000000003,7.314003897739187e-05,1.0000000000008675,0.299999999999528,-0.9999999999947069
3.5250000000000004,7.522088837803016e-05,1.0000000000008975,0.29999999999951166,-0.9999999999943945
3.5,7.737044175545925e-05,1.0000000000009295,0.2999999999994942,-0.9999999999940459
3.475,7.958838979541193e-05,1.0000000000009637,0.29999999999947563,-0.9999999999936815
3.45,8.187424656035569e-05,1.000000000001,0.2999999999994558,-0.9999999999933019
3.4250000000000003,8.42273427276638e-05,1.000000000001039,0.2999999999994347,-0.9999999999929072
3.4000000000000004,8.66468192362843e-05,1.0000000000010802,0.2999999999994122,-0.9999999999924786
3.375,8.913162139082291e-05,1.0000000000011244,0.2999999999993882,-0.9999999999920162
3.35,9.168049347166996e-05,1.0000000000011715,0.2999999999993626,-0.9999999999915403
3.325,9.429197389919533e-05,1.0000000000012217,0.29999999999933535,-0.9999999999910321
3.3000000000000003,9.696439099909937e-05,1.0000000000012752,0.29999999999930627,-0.999999999990511
3.2750000000000004,9.969585941473473e-05,1.000000000001332,0.2999999999992753,-0.9999999999899588
3.25,0.0001024842772105985,1.0000000000013927,0.2999999999992423,-0.9999999999893571
3.225,0.00010532732370922937,1.0000000000014573,0.2999999999992072,-0.9999999999887442
3.2,0.00010822245810143748,1.000000000001526,0.2999999999991698,-0.9999999999881023
3.1750000000000003,0.00011116691886713761,1.000000000001599,0.2999999999991301,-0.9999999999874131
3.1500000000000004,0.00011415772404106468,1.0000000000016767,0.29999999999908783,-0.9999999999867144
3.125,0.00011719167235432286,1.000000000001759,0.299999999999043,-0.9999999999859887
3.1,0.0001202653452790728,1.0000000000018465,0.2999999999989954,-0.9999999999852179
3.075,0.0001233751099997076,1.0000000000019393,0.29999999999894494,-0.9999999999844215
3.0500000000000003,0.0001265171233296201,1.0000000000020377,0.2999999999988915,-0.9999999999835999
3.0250000000000004,0.00012968733658814935,1.0000000000021418,0.29999999999883487,-0.9999999999827539
3.0,0.00013288150144752535,1.000000000002252,0.29999999999877497,-0.9999999999818842
2.975,0.00013609517675464174,1.0000000000023683,0.2999999999987117,-0.9999999999809913
2.95,0.00013932373632729865,1.0000000000024911,0.2999999999986449,-0.999999999980076
2.9250000000000003,0.00014256237771920292,1.0000000000026206,0.29999999999857446,-0.999999999979139
2.9000000000000004,0.00014580613194252665,1.000000000002757,0.29999999999850024,-0.9999999999781637
2.875,0.00014904987413123715,1.0000000000029006,0.29999999999842214,-0.9999999999771679
2.85,0.00015228833512275863,1.0000000000030516,0.2999999999983401,-0.9999999999761697
2.825,0.0001555161139298537,1.00000000000321,0.29999999999825394,-0.9999999999751694
2.8000000000000003,0.00015872769106894534,1.0000000000033762,0.29999999999816357,-0.9999999999741507
2.7750000000000004,0.0001619174427054959,1.0000000000035503,0.2999999999980689,-0.9999999999731137
2.75,0.00016507965557154325,1.0000000000037323,0.2999999999979699,-0.9999999999720762
2.725,0.0001682085426051173,1.0000000000039226,0.2999999999978664,-0.9999999999710383
2.7,0.00017129825925606175,1.0000000000041211,0.29999999999775845,-0.9999999999700004
2.6750000000000003,0.00017434292039780148,1.000000000004328,0.2999999999976459,-0.999999999968979
2.6500000000000004,0.00017733661777987513,1.0000000000045433,0.29999999999752885,-0.9999999999679584
2.625,0.00018027343795162714,1.000000000004767,0.2999999999974072,-0.9999999999669382
2.6,0.0001831474805833616,1.0000000000049993,0.2999999999972809,-0.9999999999659512
2.575,0.00018595287710754696,1.00000000000524,0.29999999999715,-0.999999999964981
2.5500000000000003,0.00018868380959934255,1.0000000000054892,0.2999999999970145,-0.9999999999640278
2.5250000000000004,0.00019133452981284687,1.0000000000057467,0.29999999999687443,-0.999999999963107
2.5,0.0001938993782870558,1.0000000000060125,0.2999999999967299,-0.9999999999622184
2.475,0.0001963728034335988,1.0000000000062865,0.2999999999965809,-0.9999999999613617
2.45,0.00019874938051691907,1.0000000000065685,0.29999999999642757,-0.9999999999605518
2.4250000000000003,0.00020102383043668555,1.0000000000068583,0.29999999999627003,-0.999999999959788
2.4000000000000004,0.00020319103822190188,1.0000000000071556,0.2999999999961083,-0.9999999999590699
2.375,0.0002052460711464058,1.0000000000074603,0.2999999999959427,-0.9999999999584114
2.35,0.00020718419637624698,1.0000000000077718,0.2999999999957732,-0.999999999957797
2.325,0.00020900089806079528,1.0000000000080902,0.29999999999560006,-0.9999999999572404
2.3000000000000003,0.0002106918937813531,1.0000000000084148,0.2999999999954235,-0.9999999999567558
